Flight Data File,,,,,,,,,,,,,,,,
Test ID (TID),42,,,,,,,,,,,,,,,
Vehicle ID (VID),QC16a,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,modeNumber,acc1,acc2,acc3,angRate1,angRate2,angRate3,batteryVolts,motorCmds1,motorCmds2,motorCmds3,motorCmds4,pos1,pos2,pos3,isBallFlag
2017::124:12:45:04.20,3,0.06566,0.061664,0.2082,0.00046242,-0.00041704,-0.00052229,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:04.30,3,0.58057,0.45672,-0.2547,-0.001623,0.0017253,-0.0004508,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:04.39,3,-0.41457,0.33685,-0.48297,-0.00053731,0.00068822,0.00071763,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:04.50,3,0.37947,-0.3911,0.3538,0.00054796,-0.0014617,0.0017082,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:04.60,3,-0.081712,0.028504,-0.15921,-0.000626,0.00066975,-0.00043092,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:04.70,3,1.3826,-0.02067,0.4585,0.00040821,-0.001437,0.0017202,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:04.80,3,-0.11842,0.087349,0.66023,0.00044435,0.0006736,0.00059893,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:04.90,3,-0.69471,-0.35726,0.52283,0.001476,0.00067054,-0.0015433,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.00,3,0.06876,-0.35307,-0.55614,-0.0016962,-0.0025105,-0.00044053,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.10,3,-0.19884,-0.029245,0.16916,-0.00060662,0.00059402,0.0016306,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.20,3,-0.32384,0.78165,-0.44236,-0.00058677,0.0017504,0.00050084,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.30,3,0.40217,0.88255,-0.064487,0.0015907,-0.0014325,0.00159,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.40,3,-0.65838,-0.32711,0.31749,0.00043841,0.0018199,-0.0005847,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.50,3,0.055192,0.86379,0.29496,0.0013495,-0.0003534,-0.0005141,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.60,3,-0.039315,0.37734,-0.37406,-0.0018506,0.00071363,-0.001584,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.70,3,-0.22716,-0.056782,-0.23409,-0.0028171,-0.00055236,-0.0005769,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.80,3,0.20344,-0.33505,-0.68432,0.00043367,0.0015945,-0.00050307,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:05.90,3,0.091758,0.28247,-0.17081,0.0014585,0.00049064,0.0026439,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.00,3,0.4272,0.26934,0.2785,0.00042929,-0.0007228,-0.00052543,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.10,3,-0.60976,0.18096,0.99894,0.00051667,0.0013551,0.00048341,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.20,3,-0.49027,-0.11703,0.31403,-0.00054859,0.0002898,0.00048341,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.30,3,0.58115,-0.61809,1.2194,-0.0016139,-0.00077546,0.00048341,4,0,0,0,0,0.62133,0.00227,-0.2127,1
2017::124:12:45:06.40,3,-1.023,-0.0031142,-0.40447,-0.00054859,0.0002898,-0.0016471,4,0,0,0,0,0.62133,0.00227,-0.2127,1
